,index,Operator,WellType,WellNumber,OrderNumbers,Approval Date,County,LAT,LONG,PSI,BBLS,ZONE,year,month,day,time,well_count
0,1995,XTO ENERGY INC,2R,1103,306804.0,12/18/1936,CARTER,34.1990671,-97.3990922,"1,100","3,500","HEWITT (HOXBAR, DEESE)",1936,12,18,1936-12-18,1
1,10700,GATEWAY RESOURCES USA INC,2R,3-W,32310.0,4/22/1945,WASHINGTON,36.9019034,-95.90088759999999,,,WAYSIDE,1945,4,22,1945-04-22,2
2,5099,WHITE MONTY & TERRY PRODUCTION,2D,1,19393.0,10/19/1946,LINCOLN,35.5114722,-96.7674167,0,100,UNKNOWN FORMATION,1946,10,19,1946-10-19,1
3,6863,CIRCLE 9 RESOURCES LLC,2R,43,19852.0,3/18/1947,PAWNEE,36.167568200000005,-96.72279920000001,,,BARTLESVILLE,1947,3,18,1947-03-18,3
4,6843,CIRCLE 9 RESOURCES LLC,2R,37,19852.0,3/18/1947,PAWNEE,36.1649777,-96.7172493,,,BARTLESVILLE,1947,3,18,1947-03-18,4
5,5906,SHELTON OIL COMPANY LLC,2R,Q023,19873.0,3/28/1947,NOWATA,36.7189302,-95.546017,0,"4,600",BARTLESVILLE,1947,3,28,1947-03-28,5
6,8978,HARMON C E OIL INC,2D,B-14,20662.0,11/20/1947,STEPHENS,34.4535115,-97.75989799999999,350,"1,790",HOXBAR,1947,11,20,1947-11-20,2
7,8009,SHIDLER MARK L INC,2D,1,20845.0,1/21/1948,POTTAWATOMIE,35.3431485,-97.114245,400,"5,000",SALT WATER BEARING,1948,1,21,1948-01-21,3
8,9370,DBY INVESTMENTS LLC,2D,3,22463.0,6/8/1949,STEPHENS,34.4610159,-98.08317609999999,,,BLAYDES SAND,1949,6,8,1949-06-08,4
9,9382,WETZEL PRODUCING COMPANY,2R,9,244191.0,6/8/1949,STEPHENS,34.3867717,-97.98499790000001,450,450,PERMIAN,1949,6,8,1949-06-08,6
10,7094,MID-CON ENERGY OPERATING LLC,2D,1,22561.0,7/6/1949,PAYNE,36.1335311,-96.7052631,,,BARTLESVILLE,1949,7,6,1949-07-06,5
11,7093,BEREXCO LLC,2R,4DD,22561.0,7/6/1949,PAYNE,36.155100399999995,-96.71020209999999,,,BARTLESVILLE,1949,7,6,1949-07-06,7
12,2957,MID-CON ENERGY OPERATING LLC,2R,42,22624.0,7/22/1949,CREEK,35.94486320000001,-96.55677179999999,,,BARTLESVILLE,1949,7,22,1949-07-22,8
13,4431,KLO LLC,2D,1,22952.0,10/31/1949,HUGHES,35.0568448,-96.2617803,,,WILCOX,1949,10,31,1949-10-31,6
14,9385,PRUITT OPERATING COMPANY LLC,2D,1,270013.0,12/27/1949,STEPHENS,34.5151005,-97.6101069,500,600,PERMIAN,1949,12,27,1949-12-27,7
15,9343,JONES L E OPERATING INC,2D,15,23195.0,12/27/1949,STEPHENS,34.3799972,-97.57582959999999,0,700,PENNSYLVANIA,1949,12,27,1949-12-27,8
16,8929,JONES L E OPERATING INC,2D,4,23267.0,1/10/1950,STEPHENS,34.4587131,-97.602685,,,"BASAL, PONTOTOC",1950,1,10,1950-01-10,9
17,2587,EXPLORATION PROFESSIONALS INC,2D,WI-1,23408.0,2/27/1950,CRAIG,36.582325,-95.32746,,,BURGESS ,1950,2,27,1950-02-27,10
18,5108,NBI SERVICES INC,2R,122,23621.0,5/3/1950,LINCOLN,35.721421500000005,-96.7522656,,,PRUE,1950,5,3,1950-05-03,9
19,5131,NBI SERVICES INC,2R,142,23621.0,5/3/1950,LINCOLN,35.7229265,-96.7434764,,,PRUE,1950,5,3,1950-05-03,10
