API#,Operator,Operator ID,WellType,WellName,WellNumber,OrderNumbers,Approval Date,County,Sec,Twp,Rng,QQQQ,LAT,LONG,PSI,BBLS,ZONE,,,
3500300026,PHOENIX PETROCORP INC,19499,2R,SE EUREKA UNIT-TUCKER #1,21,133856,9/6/1977,ALFALFA,13,28N,10W,C-SE SE,36.9003240,-98.2182600,"2,500",300,CHEROKEE,,,
3500300163,CHAMPLIN EXPLORATION INC,4030,2R,CHRISTENSEN,1,470258,11/27/2002,ALFALFA,21,28N,09W,C-NW NW,36.8966360,-98.1777200,"2,400","1,000",RED FORK,,,
3500320786,LINN OPERATING INC,22182,2R,NE CHEROKEE UNIT,85,329426,8/19/1988,ALFALFA,24,27N,11W,SE NE,36.8061130,-98.3258400,"1,050","1,000",RED FORK,,,
3500321074,SANDRIDGE EXPLORATION & PRODUCTION LLC,22281,2R,VELMA,2-19,281652,7/11/1985,ALFALFA,19,28N,10W,SW NE NE SW,36.8885890,-98.3185300,"3,152","1,000",RED FORK,,,
3500321107,CHAMPLIN EXPLORATION INC,4030,2R,GRAY,1A,470257,11/27/2002,ALFALFA,20,28N,09W,SE SW NW,36.8921280,-98.1946200,"1,000","2,400",RED FORK,,,
3500321242,PARADIGM PETROLEUM CORPORATION,22867,2R,NORTH CARMEN RED FORK UNIT,8,405305,9/17/1996,ALFALFA,3,24N,12W,NE NE,36.5918240,-98.4635600,750,"2,000",RED FORK,,,
3500321328,PRIDE ENERGY COMPANY,19430,2D,LESLIE,A-1,1006450004,5/6/2010,ALFALFA,5,25N,12W,S2 S2 SE NW,36.6741040,-98.5156500,"1,280","2,000",PERMIAN,,,
3500321342,ZEIDERS BROS OIL & GAS CO LLC,22680,2D,USF&G FELLERS,1A-36,348157,6/25/1990,ALFALFA,36,28N,11W,NE SW SE,36.8577750,-98.3297900,0,"1,000",MISSISSIPPI,,,
3500321364,MARJO OPERATING MID-CONTINENT LLC,23610,2R,BURCHFIEL,15-3,433693,7/14/1999,ALFALFA,15,27N,09W,NE SE SW NE,36.8195720,-98.1495300,"1,500","1,800",MISENER,,,
3500321404,PARADIGM PETROLEUM CORPORATION,22867,2R,NORTH CARMEN RED FORK UNIT,1,423456,5/27/1998,ALFALFA,34,25N,12W,NE SW SW,36.5966600,-98.4829600,"3,500",750,RED FORK (CHEROKEE),,,
3500321455,KIESTER OPERATING COMPANY,6999,2R,MEANS 'C',1,521622,3/13/2006,ALFALFA,24,25N,12W,C-SE  ,36.6266080,-98.4367900,500,"1,200",RED FORK,,,
3500321496,KIESTER OPERATING COMPANY,6999,2R,LSB MCCRADY 4,4,521370,3/8/2006,ALFALFA,18,25N,11W,C-SW SE NW,36.6456560,-98.4266400,500,"1,200",RED FORK,,,
3500321537,C & D SUPPLY,18385,2D,REITZ,1,383569,5/23/1994,ALFALFA,10,27N,11W,SE NE,36.8351110,-98.3624500,"1,000",300,MISSISSIPPI,,,
3500321553,UNIT PETROLEUM COMPANY,16711,2R,DORTHY,1,385383,8/10/1994,ALFALFA,17,27N,10W,W2 NE NE NW,36.8251410,-98.2988100,"1,250","4,500",MISENER,,,
