bird,abundance,img,ebird,wikipedia,allaboutbirds,migration,recording,tags,male,female,winter,early spring,late spring,summer,post breeding,early fall,late fall,recording_embed_link
Snow Goose,RRX--XU,https://upload.wikimedia.org/wikipedia/commons/1/1f/Snow_goose_in_Central_Park_%2833138%29.jpg,https://ebird.org/species/snogoo,https://en.wikipedia.org/wiki/Snow_goose,https://www.allaboutbirds.org/guide/Snow_Goose/overview,https://www.allaboutbirds.org/guide/assets/photo/31491721-1280px.jpg,https://macaulaylibrary.org/asset/79504721,,,,5 - rare,5 - rare,6 - extremely rare,,,6 - extremely rare,4 - uncommon,"<iframe width=""640"" height=""360"" src=""https://macaulaylibrary.org/asset/79504721/embed/640"" frameborder=""0"" allowfullscreen style=""width:640px;""></iframe>"
Ross's Goose,RR----R,https://upload.wikimedia.org/wikipedia/commons/4/4b/Ross%27s_Goose_%28Chen_rossii%29_%2823321411711%29.jpg,https://ebird.org/species/rosgoo/,https://en.wikipedia.org/wiki/Ross%27s_goose,https://www.allaboutbirds.org/guide/Rosss_Goose/overview,https://www.allaboutbirds.org/guide/assets/photo/31492051-1280px.jpg,https://macaulaylibrary.org/asset/113756861,,,,5 - rare,5 - rare,,,,,5 - rare,"<iframe width=""640"" height=""360"" src=""https://macaulaylibrary.org/asset/113756861/embed/640"" frameborder=""0"" allowfullscreen style=""width:640px;""></iframe>"
Greater White-fronted Goose,RR----U,https://upload.wikimedia.org/wikipedia/commons/4/4f/Anser_albifrons_30050.JPG,https://ebird.org/species/gwfgoo,https://en.wikipedia.org/wiki/Greater_white-fronted_goose,https://www.allaboutbirds.org/guide/Greater_White-fronted_Goose/overview,https://www.allaboutbirds.org/guide/assets/photo/38820611-1280px.jpg,https://macaulaylibrary.org/asset/131491,,,,5 - rare,5 - rare,,,,,4 - uncommon,"<iframe width=""640"" height=""360"" src=""https://macaulaylibrary.org/asset/131491/embed/640"" frameborder=""0"" allowfullscreen style=""width:640px;""></iframe>"
Cackling Goose,UU---RU,https://upload.wikimedia.org/wikipedia/commons/b/b4/AleutianCanadaGoose2.jpg,https://ebird.org/species/cacgoo1,https://en.wikipedia.org/wiki/Cackling_goose,https://www.allaboutbirds.org/guide/Cackling_Goose/overview,https://www.allaboutbirds.org/guide/assets/photo/30676221-1280px.jpg,https://macaulaylibrary.org/asset/280224161,,,,4 - uncommon,4 - uncommon,,,,5 - rare,4 - uncommon,"<iframe width=""640"" height=""360"" src=""https://macaulaylibrary.org/asset/280224161/embed/640"" frameborder=""0"" allowfullscreen style=""width:640px;""></iframe>"
Canada Goose,AAACCAA,https://upload.wikimedia.org/wikipedia/commons/4/40/Canada_goose_on_Seedskadee_NWR_%2827826185489%29.jpg,https://ebird.org/species/cangoo/,https://en.wikipedia.org/wiki/Canada_goose,https://www.allaboutbirds.org/guide/Canada_Goose/overview,https://www.allaboutbirds.org/guide/assets/photo/31492711-1280px.jpg,https://macaulaylibrary.org/asset/53519641,,,,1 - abundant,1 - abundant,1 - abundant,2 - common,2 - common,1 - abundant,1 - abundant,"<iframe width=""640"" height=""360"" src=""https://macaulaylibrary.org/asset/53519641/embed/640"" frameborder=""0"" allowfullscreen style=""width:640px;""></iframe>"
Trumpeter Swan,XX----X,https://upload.wikimedia.org/wikipedia/commons/d/d8/Trumpeter_swans_in_winter.jpg,https://ebird.org/species/truswa,https://en.wikipedia.org/wiki/Trumpeter_swan,https://www.allaboutbirds.org/guide/Trumpeter_Swan/overview,https://www.allaboutbirds.org/guide/assets/photo/31493181-1280px.jpg,https://macaulaylibrary.org/asset/93132281,,,,6 - extremely rare,6 - extremely rare,,,,,6 - extremely rare,"<iframe width=""640"" height=""360"" src=""https://macaulaylibrary.org/asset/93132281/embed/640"" frameborder=""0"" allowfullscreen style=""width:640px;""></iframe>"
Tundra Swan,XX----R,https://upload.wikimedia.org/wikipedia/commons/4/4a/Cygnus_bewickii_01.jpg,https://ebird.org/species/tunswa,https://en.wikipedia.org/wiki/Tundra_swan,https://www.allaboutbirds.org/guide/Tundra_Swan,https://www.allaboutbirds.org/guide/assets/photo/31493371-1280px.jpg,https://macaulaylibrary.org/asset/203914121,,,,6 - extremely rare,6 - extremely rare,,,,,5 - rare,"<iframe width=""640"" height=""360"" src=""https://macaulaylibrary.org/asset/203914121/embed/640"" frameborder=""0"" allowfullscreen style=""width:640px;""></iframe>"
Wood Duck,RFFFFFF,https://upload.wikimedia.org/wikipedia/commons/d/d3/Wood_Duck_%28Aix_sponsa%29%2C_Parc_du_Rouge-Clo%C3%AEtre%2C_Brussels.jpg,https://ebird.org/species/wooduc,https://en.wikipedia.org/wiki/Wood_duck,https://www.allaboutbirds.org/guide/wood_duck,https://www.allaboutbirds.org/guide/assets/photo/31493891-1280px.jpg,https://macaulaylibrary.org/asset/63823781,,,,5 - rare,3 - fairly common,3 - fairly common,3 - fairly common,3 - fairly common,3 - fairly common,3 - fairly common,"<iframe width=""640"" height=""360"" src=""https://macaulaylibrary.org/asset/63823781/embed/640"" frameborder=""0"" allowfullscreen style=""width:640px;""></iframe>"
Blue-winged Teal,-FCUUCF,https://upload.wikimedia.org/wikipedia/commons/6/65/Blue-Winged_Teal.jpg,https://ebird.org/species/buwtea,https://en.wikipedia.org/wiki/Blue-winged_teal,https://www.allaboutbirds.org/guide/Blue-winged_Teal/overview,https://www.allaboutbirds.org/guide/assets/photo/31499571-1280px.jpg,https://macaulaylibrary.org/asset/159161811,,,,,3 - fairly common,2 - common,4 - uncommon,4 - uncommon,2 - common,3 - fairly common,"<iframe width=""640"" height=""360"" src=""https://macaulaylibrary.org/asset/159161811/embed/640"" frameborder=""0"" allowfullscreen style=""width:640px;""></iframe>"
Northern Shoveler,RFUXXUU,https://upload.wikimedia.org/wikipedia/commons/a/a7/Northern_shoveler_Steve_Sinclair_outreach_use_only_%2819838806616%29.jpg,https://ebird.org/species/norsho,https://en.wikipedia.org/wiki/Northern_shoveler,https://www.allaboutbirds.org/guide/Northern_Shoveler,https://www.allaboutbirds.org/guide/assets/photo/31499801-1280px.jpg,https://macaulaylibrary.org/asset/296948,,,,5 - rare,3 - fairly common,4 - uncommon,6 - extremely rare,6 - extremely rare,4 - uncommon,4 - uncommon,"<iframe width=""640"" height=""360"" src=""https://macaulaylibrary.org/asset/296948/embed/640"" frameborder=""0"" allowfullscreen style=""width:640px;""></iframe>"
